name,length,mean,stddev,sample_mean,sample_stddev,median,min,max,num_samples
h0,10,1.049,0.238,1.049,0.239,0.97,0.52,1.61,99
h0,50,1.935,0.481,1.935,0.483,1.83,0.9,3.58,116
h0,100,2.713,0.706,2.713,0.709,2.54,1.27,6.44,103
h0,500,9.483,1.481,9.483,1.488,9.74,5.68,13.58,99
h0,1000,18.151,2.547,18.151,2.558,18.6,10.53,24.47,116
h0,1500,26.652,3.445,26.652,3.461,27.55,15.62,31.22,110
h0,2000,35.226,4.162,35.226,4.179,36.29,21.19,42.23,123
h0,3000,51.469,7.576,51.469,7.615,53.49,30.22,61.99,97
h1,10,1.171,0.278,1.171,0.28,1.13,0.56,1.75,93
h1,50,2.06,0.447,2.06,0.449,1.98,1.05,4.31,100
h1,100,2.685,0.562,2.685,0.565,2.58,1.46,4.38,111
h1,500,9.9,1.672,9.9,1.681,10.2,5.68,14.87,93
h1,1000,18.327,2.909,18.327,2.923,18.93,10.56,26.9,107
h1,1500,26.402,3.987,26.402,4.009,27.8,15.5,30.47,89
h1,2000,35.508,4.785,35.508,4.81,36.8,20.6,40.81,96
h1,3000,52.673,5.954,52.673,5.983,54.12,31.1,61.71,106
h2,10,1.251,0.306,1.251,0.307,1.17,0.59,1.91,96
h2,50,3.061,0.545,3.061,0.547,2.99,1.56,4.96,122
h2,100,4.448,0.619,4.448,0.622,4.44,2.55,5.79,99
h2,500,20.961,3.568,20.961,3.588,21.56,11.87,39.91,93
h2,1000,41.126,4.834,41.126,4.858,42.26,24.12,49.86,102
h2,1500,59.318,7.79,59.318,7.821,61.51,34.34,69.11,126
h2,2000,80.031,13.545,80.031,13.609,82.54,47.03,148.53,106
h2,3000,118.692,13.428,118.692,13.489,122.01,70.8,134.88,111
h3,10,1.269,0.248,1.269,0.25,1.2,0.76,1.94,98
h3,50,3.106,0.56,3.106,0.563,2.99,1.8,4.88,91
h3,100,4.568,0.522,4.568,0.524,4.46,2.71,6.35,108
h3,500,20.782,3.017,20.782,3.032,21.44,12.02,25.7,101
h3,1000,39.786,6.064,39.786,6.095,41.96,23.22,49.87,97
h3,1500,58.856,8.802,58.856,8.837,61.5,34.12,74.54,126
h3,2000,78.736,11.365,78.736,11.418,82.39,46.99,94.16,109
h3,3000,117.516,17.45,117.516,17.536,121.79,65.89,180.85,102
h4,10,0.822,0.188,0.822,0.188,0.78,0.42,1.21,112
h4,50,1.705,0.41,1.705,0.412,1.62,0.81,2.57,103
h4,100,2.353,0.435,2.353,0.437,2.3,1.34,4.61,105
h4,500,9.894,2.287,9.894,2.298,10.08,5.73,21.53,106
h4,1000,18.91,2.664,18.91,2.676,19.38,11.0,26.71,107
h4,1500,27.183,3.846,27.183,3.865,28.19,15.75,32.66,99
h4,2000,37.012,4.983,37.012,5.008,38.17,21.3,49.76,99
h4,3000,53.334,6.88,53.334,6.908,55.04,31.6,63.73,124
h5,10,0.819,0.204,0.819,0.205,0.78,0.37,1.26,102
h5,50,1.702,0.325,1.702,0.327,1.64,0.78,2.57,89
h5,100,2.305,0.419,2.305,0.42,2.27,1.19,3.5,123
h5,500,9.813,1.438,9.813,1.446,10.05,5.72,13.08,93
h5,1000,18.584,2.878,18.584,2.893,19.37,8.91,25.42,95
h5,1500,27.183,4.218,27.183,4.246,28.41,16.19,36.79,76
h5,2000,37.078,5.006,37.078,5.03,38.3,21.75,44.23,105
h5,3000,54.437,9.445,54.437,9.495,55.47,31.72,112.99,94
h6,10,0.792,0.205,0.792,0.206,0.72,0.37,1.55,105
h6,50,1.638,0.296,1.638,0.298,1.6,0.8,2.42,105
h6,100,2.43,0.44,2.43,0.442,2.39,1.37,3.61,108
h6,500,9.911,1.506,9.911,1.514,10.1,5.56,15.21,106
h6,1000,18.814,2.794,18.814,2.807,19.59,10.85,22.9,112
h6,1500,27.673,3.554,27.673,3.574,28.38,15.9,38.47,91
h6,2000,36.769,8.116,36.769,8.16,38.18,21.3,82.83,93
h6,3000,52.366,9.048,52.366,9.094,54.94,31.03,86.72,98
h7,10,1.127,0.321,1.127,0.322,1.01,0.49,2.38,119
h7,50,1.908,0.444,1.908,0.446,1.85,0.88,3.08,100
h7,100,2.466,0.544,2.466,0.546,2.36,1.25,3.99,124
h7,500,8.393,1.395,8.393,1.401,8.71,4.88,11.2,117
h7,1000,16.107,1.935,16.107,1.945,16.49,9.54,20.16,101
h7,1500,23.141,3.106,23.141,3.12,24.09,13.55,26.45,110
h7,2000,31.039,3.854,31.039,3.873,32.09,18.3,37.35,100
h7,3000,45.604,5.729,45.604,5.759,47.22,27.17,51.9,97
h8,10,1.265,0.261,1.265,0.262,1.19,0.65,1.97,119
h8,50,1.969,0.394,1.969,0.396,1.91,0.98,3.32,100
h8,100,2.542,0.551,2.542,0.553,2.45,1.36,4.54,104
h8,500,8.926,1.259,8.926,1.266,8.97,5.18,14.33,99
h8,1000,16.504,2.55,16.504,2.562,16.6,9.49,33.64,106
h8,1500,22.887,3.643,22.887,3.661,24.12,13.67,28.73,101
h8,2000,30.91,4.077,30.91,4.094,32.17,17.89,35.97,124
h8,3000,45.062,6.494,45.062,6.523,46.95,26.62,57.18,113
h9,10,1.124,0.296,1.124,0.298,1.05,0.54,2.44,104
h9,50,1.787,0.399,1.787,0.401,1.72,0.92,3.04,95
h9,100,2.43,0.528,2.43,0.53,2.34,1.4,4.64,110
h9,500,8.657,1.053,8.657,1.058,8.75,5.1,10.89,95
h9,1000,16.29,1.779,16.29,1.787,16.5,9.38,22.26,113
h9,1500,23.509,2.962,23.509,2.977,24.34,13.83,27.83,99
h9,2000,30.554,4.754,30.554,4.781,32.0,18.37,35.87,88
h9,3000,45.009,6.356,45.009,6.385,47.05,26.8,52.3,109
